design_id,patch_length_mm,patch_width_mm,substrate_er,substrate_h_mm,feed_position,ground_ratio,resonant_freq_GHz,bandwidth_MHz,gain_dBi,efficiency_pct,min_s11_dB
1,30.89407556793585,26.239161425190048,7.505139082449718,3.0567140871234044,0.12594326258085364,1.6596081271368333,1.772297733666017,4.702492227008601,2.5965896229844865,61.207144747503094,-21.671708375928137
2,18.584180048511385,16.755339374928518,8.91829123755692,2.475209324132601,0.2752493286894593,1.4637893694756774,2.7027571775687864,9.491428735615163,2.2432913210003944,49.08021683376593,-28.204422112776577
3,16.805543606926094,35.12993734486274,8.789235073863615,2.0323780698930407,0.24182557250613357,1.941157806086132,3.0106699920610267,9.999755067506007,3.3729094264041457,45.984896047731795,-26.278509083513644
4,26.539443072486733,27.422248674136917,5.140894874344914,2.6701558449266662,0.3107867905482734,1.9919056125831132,2.492757849565619,6.917368867643873,3.774582128204098,68.34665766746168,-12.837374202148442
5,31.58406909356689,24.79541717640665,3.6047281650781793,1.9011974983997224,0.23848181263066712,1.8705032675923716,2.501421728857565,4.110957993567979,4.670724358687514,73.32141872904901,-38.24032945962253
6,22.69319380373383,28.172097140963526,3.101283675563524,1.2568332954466728,0.373301833708089,1.63162611707834,3.753400352037109,5.561285813870081,4.7774562596929515,71.80003052905724,-22.906188678817472
7,39.42292595153847,20.032500054361574,7.6208718610097845,0.8382500157291864,0.1099334321817775,1.8029216976650384,1.3782883176502327,0.7955768787160296,1.7003139338824638,46.140110588306364,-16.910682284359197
8,30.544892157545895,34.14393470332415,9.844206152971932,1.7943915064886296,0.3253470664395887,1.6369076089868262,1.56517287548308,2.460970138515152,2.3143530670016608,42.52514835492498,-36.546076676053396
9,24.427957044530828,27.724996756747945,9.91242001216375,3.183437311275354,0.2503478035047537,1.6838927816005456,1.9503576741957427,6.8302848671613114,1.4306599044375528,41.90217349508488,-17.7951774416375
10,21.763525545824518,35.47336044602144,5.023682228962498,1.9676067777584394,0.1871929802358383,1.2541996019609127,3.0750411318569957,7.196186978664183,4.183539746662008,65.97152930221631,-16.37406218199862
11,20.29534048452608,27.72994269134557,5.132717961682783,2.113046446389656,0.12719839446903525,1.7170172481418824,3.2622798752718998,9.153323758295507,4.281701962033407,63.2782094570534,-10.33388844458078
12,31.871491221521246,15.136264158091883,6.567794430199779,3.1825141086743467,0.22719037265723607,1.487958770892766,1.8364499620055699,4.845267485655951,2.3716482371107874,62.60099693602978,-29.114038775234054
13,23.15716734038873,33.03047997430184,6.177183211370519,1.8021218177137281,0.20732340496542004,1.5312328330747158,2.6062170632485353,5.379140298955797,3.67320413014394,56.87406585904439,-16.87833002898738
14,11.79033689828705,35.81915478929878,3.6761076878710943,2.3501770437474474,0.38791160941168323,1.6537056165380746,6.635458413356479,35.451709003038296,5.79921818064441,72.9902833379329,-33.156796774224944
15,21.94132765991294,33.384024064629045,9.466998621932174,1.0278909001481191,0.18767050569957167,1.496292089171305,2.2218881825701087,2.7522757454989093,2.3017111733335907,42.786889232522164,-39.403245637039895
16,32.13986217196107,23.45991645900192,2.569697783887511,1.640941012525314,0.3298917730428127,1.2512094823853184,2.911429137218967,3.8466460850783837,5.608421064177128,81.1286945083835,-12.751584312680944
17,15.474751913605,29.96457028123415,3.3936560080369462,1.3791192304545643,0.1784116149450151,1.3409286158399676,5.261791734749648,12.231739584752212,5.596667090679971,69.93561175770412,-20.640811393207372
18,15.263552684424777,33.19324039739299,2.935630105855549,2.2359307222659495,0.17461413123798075,1.5320243696846547,5.735680647066104,22.285432310876143,5.734218019089335,78.97660857484303,-14.24094906644989
19,25.946541215255152,18.729891021710937,3.2082895641099602,1.2254002287915506,0.23335720987916816,1.3154468009186362,3.2275650722301537,3.9670989633222224,4.698599264756135,73.07958287495107,-29.40825362112045
20,25.954827612905984,13.814047099359069,5.997307088044689,2.2038293208886413,0.11765891158578327,1.6451296168566318,2.359907425293385,5.3669424423990755,3.1992712630046762,61.1277605655218,-21.93118661503465
